,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM2_5_annualMean,cases_per_100k,deaths_per_100k,Population_density,Fully_vaccinated
0,Berlin,2010,2133097,0.0,4689645,4814162,"1,32167E+14","7,5384E+14","1,7932E+14","1,61913E+14",2521095,2056858,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
1,Berlin,2011,2110792,0.0,5591758,4678272,"1,40501E+14","7,55153E+14","1,79362E+14","1,61987E+14",2283172,2017655,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
2,Berlin,2012,20656,0.0,5372472,4526885,"1,51321E+14","7,56857E+14","1,79416E+14","1,62083E+14",2053782,1718541,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
3,Berlin,2013,1916632,0.0,437616,4791164,0.1428571,7314514,1718557,1575654,2105746,1583933,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
4,Berlin,2014,2046666,0.0,1575506,4780345,0,7165981,1819686,1665395,2420021,1977463,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
5,Berlin,2015,202456,0.0,1844586,5350006,3285714,7797654,2126943,1827286,2073612,1561312,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
6,Berlin,2016,2075239,0.0,1718051,5013845,0,7260674,1810029,158.53,2028495,1548827,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
7,Berlin,2017,1983638,0.0,1512453,4718726,0,7020975,1474743,132993,1910713,1438474,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
8,Berlin,2018,1932721,0.0,1615014,5516709,1857143,8078691,1840229,1675945,2068847,1497909,6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
9,Berlin,2019,1737788,0.0,4629303,5150285,0.2857143,7660822,1814457,173715,1733919,"1,25158E+14",6640.6880663018555,102.77615932136567,4094.2349827333387,0.688
10,LK Ahrweiler,2010,"1,86366E+14",0.007228275728712,"1,21979E+14","4,92076E+14",0.940972995453144,"7,47842E+13","1,79131E+13","1,61575E+14","1,82164E+14","1,34738E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
11,LK Ahrweiler,2011,"1,85385E+14",0.0071751702688526,"1,20911E+14","4,93161E+14",0.985250436605821,"7,4854E+13","1,79153E+13","1,61614E+14","1,82295E+14","1,34692E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
12,LK Ahrweiler,2012,"1,7971E+14",0.0068680874761097,"1,07823E+14","4,95311E+14","1,07295E+14","7,49921E+14","1,79197E+14","1,61692E+13","1,79629E+14","1,33033E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
13,LK Ahrweiler,2013,"1,77276E+14",0.0067363781239277,"1,08782E+14","4,97225E+14","1,15104E+14","7,51151E+14","1,79235E+14","1,61761E+14","1,77469E+14","1,319E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
14,LK Ahrweiler,2014,"1,78289E+14",0.0067911917928346,"1,05581E+14","4,97339E+14","1,15569E+14","7,51225E+14","1,79238E+14","1,61765E+14","1,79995E+13","1,33218E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
15,LK Ahrweiler,2015,"1,73799E+14",0.0065482034351812,"1,01309E+14","4,98449E+14","1,20094E+14","7,51938E+14","1,7926E+14","1,61805E+13","1,75237E+13","1,30437E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
16,LK Ahrweiler,2016,"1,77621E+14",0.0067550387771652,"9,95572E+12","4,9383E+14","1,01253E+14","7,48969E+13","1,79167E+14","1,61638E+14","1,76528E+14","1,31155E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
17,LK Ahrweiler,2017,"1,74497E+14",0.0065860010074745,"1,01454E+14","4,99275E+13","1,23464E+14","7,52468E+14","1,79277E+14","1,61835E+14","1,76359E+14","1,30952E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
18,LK Ahrweiler,2018,"1,7343E+14",0.0065282598473997,"9,73856E+14","5,04571E+14","1,4507E+14","7,55872E+14","1,79385E+14","1,62027E+14","1,72555E+14","1,28935E+14",4858.2530522153,49.050038703546164,165.8459479871383,0.678
