Column1,id,county_new,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM10_daysOver50,PM2_5_annualMean,BL,EWZ,Shape__Area,death_rate,cases,deaths,cases_per_100k,deaths_per_100k,fully_vaccinated,Population_density,NO2_totMean,NO_totMean,O3_totMean,PM10_totMean,PM2_5_totMean
0,157,Berlin,Berlin,2010,21.33097,0,4.689645,48.14162,1.321674051,75.3839637,179.3204671,161.9125796,25.21095,30.28571,20.56858,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
1,157,Berlin,Berlin,2011,21.10792,0,5.591758,46.78272,1.4050132,75.51525743,179.3619727,161.9865242,22.83172,25.57143,20.17655,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
2,157,Berlin,Berlin,2012,20.656,0,5.372472,45.26885,1.513208954,75.68571064,179.4158577,162.0825233,20.53782,11,17.18541,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
3,157,Berlin,Berlin,2013,19.16632,0,4.37616,47.91164,0.1428571,73.14514,171.8557,157.5654,21.05746,13,15.83933,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
4,157,Berlin,Berlin,2014,20.46666,0,15.75506,47.80345,0,71.65981,181.9686,166.5395,24.20021,22,19.77463,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
5,157,Berlin,Berlin,2015,20.2456,0,18.44586,53.50006,3.285714,77.97654,212.6943,182.7286,20.73612,12,15.61312,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
6,157,Berlin,Berlin,2016,20.75239,0,17.18051,50.13845,0,72.60674,181.0029,158.53,20.28495,5.166667,15.48827,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
7,157,Berlin,Berlin,2017,19.83638,0,15.12453,47.18726,0,70.20975,147.4743,132.993,19.10713,10.33333,14.38474,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
8,157,Berlin,Berlin,2018,19.32721,0,16.15014,55.16709,1.857143,80.78691,184.0229,167.5945,20.68847,7.833333,14.97909,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
9,157,Berlin,Berlin,2019,17.37788,0,4.629303,51.50285,0.2857143,76.60822,181.4457,173.715,17.33919,1.666667,12.51580074,Berlin,259169,893320245.5,1.591636266,242813,3759,6640.688066,103.7030905,0.688,290.1188026,20.026733,10.7315438,49.340399,21.199402,16.65255207
10,304,Ahrweiler,LK Ahrweiler,2010,18.63664005,0.007228276,12.19793662,49.2075806,0.940972995,74.78420158,179.1308654,161.5747939,18.21639924,9.928115939,13.47377697,Rheinland-Pfalz,130479,786748193.6,1.009622969,6339,64,4858.253052,49.0500387,0.678,165.845948,17.73911378,10.61870004,49.78680402,17.69083547,13.14230077
11,304,Ahrweiler,LK Ahrweiler,2011,18.53850112,0.00717517,12.09114332,49.31612146,0.985250437,74.85395692,179.1529171,161.6140801,18.22945189,8.704963058,13.46919594,Rheinland-Pfalz,130479,786748193.6,1.009622969,6339,64,4858.253052,49.0500387,0.678,165.845948,17.73911378,10.61870004,49.78680402,17.69083547,13.14230077
12,304,Ahrweiler,LK Ahrweiler,2012,17.97101189,0.006868087,10.78234777,49.53110657,1.072950047,74.9921202,179.1965944,161.6918935,17.96285115,6.870233672,13.30330353,Rheinland-Pfalz,130479,786748193.6,1.009622969,6339,64,4858.253052,49.0500387,0.678,165.845948,17.73911378,10.61870004,49.78680402,17.69083547,13.14230077
